statistic,median,average,10xbit,100x
watchers,187,271.1563877,,
stars,2735.5,3823.23348,,
forks,651,1107.801762,,
commits,76,164.0198238,,
branches,3,116.8039648,,
releases,5,14.9845815,,
contributors,12,34.10565111,,
