url,repo_name,watchers,stars,forks,commits,branches,releases,contributors,,
https://github.com/apache/storm,storm,652,4824,3483,9,73,38,30,,
https://github.com/apache/tomcat,tomcat,375,2054,1480,19,180,1,64,,
https://github.com/apache/zeppelin,zeppelin,353,3383,1744,3,625,8,10,,
https://github.com/apache/zookeeper,zookeeper,542,3940,2776,1,620,11,80,,
https://github.com/apereo/cas,cas,470,3703,1996,11,234,18,159,,
https://github.com/apl-devs/AppIntro,AppIntro,271,7382,1370,488,2,7,51,,
https://github.com/ApmeM/android-flowlayout,android-flowlayout,78,1802,378,143,1,9,16,,
https://github.com/aporter/coursera-android,coursera-android,1374,4309,5848,71,1,0,4,,
https://github.com/appsthatmatter/GraphView,GraphView,120,1875,669,376,4,9,27,,
https://github.com/aragozin/jvm-tools,jvm-tools,161,1708,261,278,6,27,,,
https://github.com/AriaLyy/Aria,Aria,57,1704,247,558,2,9,1,,
https://github.com/arimorty/floatingsearchview,floatingsearchview,86,2631,526,294,2,0,6,,
https://github.com/aritraroy/PatternLockView,PatternLockView,35,1922,285,39,2,0,2,,
https://github.com/aritraroy/UltimateAndroidReference,UltimateAndroidReference,323,5655,738,257,2,0,24,,
https://github.com/artem-zinnatullin/qualitymatters,qualitymatters,83,1653,204,281,1,0,,,
https://github.com/ArthurHub/Android-Image-Cropper,Android-Image-Cropper,126,3094,641,539,3,30,33,,
https://github.com/Ashok-Varma/BottomNavigation,BottomNavigation,101,2805,514,131,2,15,3,,
https://github.com/asLody/VirtualApp,VirtualApp,402,3443,1180,1,126,4,3,,
https://github.com/Aspsine/SwipeToLoadLayout,SwipeToLoadLayout,65,1825,439,171,2,5,,,
https://github.com/astuetz/PagerSlidingTabStrip,PagerSlidingTabStrip,412,6427,2890,31,2,2,6,,
https://github.com/AsyncHttpClient/async-http-client,async-http-client,358,4197,1215,3,835,7,249,,
https://github.com/ata4/disunity,disunity,356,1985,560,669,4,15,12,,
https://github.com/athkalia/Just-Another-Android-App,Just-Another-Android-App,56,1599,180,180,6,0,3,,
https://github.com/Athou/commafeed,commafeed,111,1512,285,2,512,2,14,,
https://github.com/Atmosphere/atmosphere,atmosphere,242,3072,685,5,814,14,170,,
https://github.com/aurelhubert/ahbottomnavigation,ahbottomnavigation,66,2720,499,236,1,9,20,,
https://github.com/auth0/java-jwt,java-jwt,190,1550,342,181,3,18,9,,
