watchers,stars,forks,commits,branches,releases,contributors,Python,NormWatchers,NormStars,NormForks,NormCommits,NormBranches,NormReleases,NormContributors,Popularity
188,3585,231,224,16,5,9,1,-0.2851650913,-0.1748274631,-0.5773532044,0.156684444,-0.4812229075,-0.2737511717,-0.4064775346,-0.3457819196
112,2803,258,338,1,0,31,1,-0.5058674833,-0.3557447393,-0.558949771,0.6300851935,-0.540516547,-0.4127248364,-0.1240504513,-0.4735206645
139,3624,524,499,4,9,63,1,-0.4274600546,-0.1658047345,-0.3776418713,1.298659936,-0.5286578191,-0.1625722399,0.2867525788,-0.3236355535
349,6926,1161,8,27,33,51,1,0.1823755023,0.598119621,0.05654283573,-0.7402853971,-0.4377409053,0.5045013507,0.1327014425,0.279012653
123,3497,86,178,13,27,6,1,-0.4739237161,-0.1951864405,-0.676186458,-0.03433691105,-0.4930816354,0.3377329531,-0.4449903186,-0.4484322048
239,4518,913,2,523,10,78,1,-0.1370621704,0.04102396745,-0.1124961083,-0.7652012261,1.522902107,-0.134777507,0.4793164992,-0.06951143707
826,10703,2745,926,5,12,41,1,1.56757341,1.471936184,1.13621093,3.071836428,-0.5247049098,-0.07918804109,0.004325495584,1.391906841
638,7526,1986,3,140,1,5,1,1.021625388,0.7369308304,0.6188699681,-0.7610485879,0.008937845471,-0.3849301035,-0.4578279133,0.7924753954
357,7171,1839,16,723,22,52,1,0.205607333,0.6548008648,0.5186734972,-0.7070642919,2.313483966,0.1987592884,0.1455390372,0.4596938984
308,6051,2217,7,131,14,88,1,0.06331236974,0.3956866074,0.7763215651,-0.7444380353,-0.02663833822,-0.0235985752,0.6076924461,0.4117735141
170,2983,597,1,71,6,72,1,-0.3374367105,-0.3141013765,-0.3278844402,-0.7693538642,-0.2638128961,-0.2459564388,0.402290931,-0.3264741757
308,5202,1065,1,767,21,70,1,0.06331236974,0.1992687461,-0.008891594218,-0.7693538642,2.487411976,0.1709645554,0.3766157417,0.08456317388
195,3270,1199,17,35,6,108,1,-0.2648372394,-0.247703348,0.08244396425,-0.7029116538,-0.4061176309,-0.2459564388,0.86444434,-0.1433655411
249,5372,345,1,548,19,68,1,-0.1080223819,0.2385985888,-0.4996498188,-0.7693538642,1.621724839,0.1153750895,0.3509405523,-0.1230245373
137,3024,482,456,4,15,43,1,-0.4332680123,-0.3046159438,-0.4062694344,1.120096496,-0.5286578191,0.004196157744,0.03000068497,-0.3813844635
389,8674,2486,10,507,42,168,1,0.298534656,1.002522944,0.9596742907,-0.7319801208,1.459655558,0.7546539472,1.634700021,0.753577297
855,20950,1963,8,160,262,49,1,1.651788796,3.842600288,0.6031929692,-0.7402853971,0.08799603144,6.869495195,0.1070262531,2.032527351
300,3459,918,12,573,20,58,1,0.04008053901,-0.2039778171,-0.1090880651,-0.7236748445,1.720547572,0.1431698225,0.2225646053,-0.09099511438
400,8495,777,1,601,9,20,1,0.3304784232,0.9611109335,-0.2051948841,-0.7693538642,1.831229032,-0.1625722399,-0.2652639929,0.3621314909
116,2506,267,604,1,0,82,1,-0.494251568,-0.4244562879,-0.5528152932,1.734686942,-0.540516547,-0.4127248364,0.530666878,-0.4905077163
130,3818,464,65,1,1,4,1,-0.4535958642,-0.1209224435,-0.41853839,-0.5035850224,-0.540516547,-0.3849301035,-0.470665508,-0.3310188992
417,5107,2244,97,1,0,1,1,0.3798460635,0.1772903046,0.7947249986,-0.3707006015,-0.540516547,-0.4127248364,-0.5091782921,0.4506204556
230,3575,597,1,474,2,35,1,-0.1631979799,-0.1771409833,-0.3278844402,-0.7693538642,1.329209551,-0.3571353705,-0.07270007257,-0.2227411345
183,3936,474,822,1,40,103,1,-0.2996849855,-0.09362290562,-0.4117223036,2.63996206,-0.540516547,0.6990644814,0.8002563665,-0.2683433982
196,5502,313,502,14,0,46,1,-0.2619332606,0.2686743508,-0.5214612955,1.311117851,-0.4891287261,-0.4127248364,0.06851346904,-0.1715734018
186,4389,323,604,2,2,12,1,-0.290973049,0.01117955744,-0.514645209,1.734686942,-0.5365636377,-0.3571353705,-0.3679647505,-0.2648129002
151,4455,281,206,1,0,33,1,-0.3926123085,0.02644879047,-0.5432727721,0.08193695725,-0.540516547,-0.4127248364,-0.09837526195,-0.30314543
553,6039,1162,968,4,1,,1,0.7747871861,0.3929103832,0.05722444437,3.24624723,-0.5286578191,-0.3849301035,-0.5220158868,0.4083073379
330,2700,1130,14,122,211,134,1,0.1271999043,-0.3795739969,0.03541296773,-0.7153695682,-0.0622145219,5.451963815,1.198221802,-0.07232037497
165,2499,737,1,327,39,44,1,-0.3519566047,-0.426075752,-0.2324592299,-0.7693538642,0.7481318843,0.6712697484,0.04283827966,-0.3368305289
179,2950,265,19,142,340,80,1,-0.3113009009,-0.321735993,-0.5541785104,-0.6946063775,0.01684366407,9.037484365,0.5049916886,-0.3957384681
